CONFIG,WORKER_ID,LAYER,PUBLISH_NUM,PUBLISH_TOTAL_SIZE,PUBLISH_MAX_SIZE,PUBLISH_MIN_SIZE,PUBLISH_AVG_SIZE,MSG_NUM,MSG_TOTAL_SIZE,MSG_MAX_SIZE,MSG_MIN_SIZE,MSG_AVG_SIZE,LS_NUM_TARGETS,NNZ,CHUNKS_SENT,CHUNKS_PER_TARGET,CHUNK_TOTAL_SIZE,CHUNK_MIN_SIZE,CHUNK_MAX_SIZE,CHUNK_AVG_SIZE,NNZ_SENT,NNZ_PER_TARGET,ROWS_SENT,ROWS_PER_TARGET,LAYER_DURATION
c1_1024n_8w_10000bs_queue,0,10,3,635484,256017,181811,211828,7,635484,105052,71086,90783.43,7,45568,7,1,635484,71086,105052,90783.43,185832,26547.428,522,74.57143,0.8374634
c1_1024n_8w_10000bs_queue,0,11,2,444017,236880,207494,222008.5,7,444017,80403,35000,63431,7,44288,7,1,444017,35000,80403,63431,117640,16805.715,340,48.57143,0.70526123
c1_1024n_8w_10000bs_queue,0,12,2,273246,233961,39468,136623,7,273246,45570,31248,39035.145,7,43392,7,1,273246,31248,45570,39035.145,158652,22664.572,468,66.85714,0.6315918
c1_1024n_8w_10000bs_queue,0,13,2,293947,248876,44952,146973.5,7,293947,52326,33881,41992.43,7,43392,7,1,293947,33881,52326,41992.43,159330,22761.428,470,67.14286,0.6452637
c1_1024n_8w_10000bs_queue,0,14,1,240975,240975,240975,240975,8,240975,42229,7210,30121.875,7,43244,8,1.1428572,240975,7210,42229,30121.875,201027,28718.143,595,85,0.59472656
c1_1024n_8w_10000bs_queue,0,15,1,202318,202318,202318,202318,7,202318,38824,21741,28902.572,7,43136,7,1,202318,21741,38824,28902.572,179958,25708.285,534,76.28571,0.6399536
c1_1024n_8w_10000bs_queue,0,16,1,142684,142684,142684,142684,7,142684,24050,18231,20383.428,7,43136,7,1,142684,18231,24050,20383.428,176251,25178.715,523,74.71429,0.477417
c1_1024n_8w_10000bs_queue,0,17,1,93238,93238,93238,93238,7,93238,17849,9838,13319.714,7,43136,7,1,93238,9838,17849,13319.714,118287,16898.143,351,50.142857,0.576355
c1_1024n_8w_10000bs_queue,0,18,1,88382,88382,88382,88382,7,88382,15276,9029,12626,7,43136,7,1,88382,9029,15276,12626,148280,21182.857,440,62.857143,0.4416504
c1_1024n_8w_10000bs_queue,0,19,1,90370,90370,90370,90370,7,90370,18358,8902,12910,7,43136,7,1,90370,8902,18358,12910,162097,23156.715,481,68.71429,0.45959473
c1_1024n_8w_10000bs_queue,0,20,1,87010,87010,87010,87010,7,87010,15455,9617,12430,7,43136,7,1,87010,9617,15455,12430,166141,23734.428,493,70.42857,0.45336914
c1_1024n_8w_10000bs_queue,0,21,1,79842,79842,79842,79842,7,79842,14621,8760,11406,7,43136,7,1,79842,8760,14621,11406,147606,21086.572,438,62.57143,0.47094727
c1_1024n_8w_10000bs_queue,0,22,1,91094,91094,91094,91094,7,91094,17155,10087,13013.429,7,43136,7,1,91094,10087,17155,13013.429,164456,23493.715,488,69.71429,0.50183105
c1_1024n_8w_10000bs_queue,0,23,1,64245,64245,64245,64245,7,64245,15045,5353,9177.857,7,43136,7,1,64245,5353,15045,9177.857,104807,14972.429,311,44.42857,0.501709
c1_1024n_8w_10000bs_queue,0,24,1,83954,83954,83954,83954,7,83954,16634,8561,11993.429,7,43136,7,1,83954,8561,16634,11993.429,147606,21086.572,438,62.57143,0.5151367
c1_1024n_8w_10000bs_queue,0,25,1,105990,105990,105990,105990,7,105990,19061,10538,15141.429,7,43136,7,1,105990,10538,19061,15141.429,196471,28067.285,583,83.28571,0.564209
c1_1024n_8w_10000bs_queue,0,26,1,85446,85446,85446,85446,7,85446,14124,9100,12206.571,7,43136,7,1,85446,9100,14124,12206.571,159401,22771.572,473,67.57143,0.522583
c1_1024n_8w_10000bs_queue,0,27,1,90160,90160,90160,90160,7,90160,17521,7471,12880,7,43136,7,1,90160,7471,17521,12880,169848,24264,504,72,0.5206299
c1_1024n_8w_10000bs_queue,0,28,1,66208,66208,66208,66208,7,66208,10814,7766,9458.286,7,43136,7,1,66208,7766,10814,9458.286,166141,23734.428,493,70.42857,0.46032715
c1_1024n_8w_10000bs_queue,0,29,1,47722,47722,47722,47722,7,47722,9695,4823,6817.4287,7,43136,7,1,47722,4823,9695,6817.4287,96719,13817,287,41,0.36120605
c1_1024n_8w_10000bs_queue,0,30,1,64219,64219,64219,64219,7,64219,12073,7782,9174.143,7,43136,7,1,64219,7782,12073,9174.143,159738,22819.715,474,67.71429,0.44213867
c1_1024n_8w_10000bs_queue,0,31,1,63923,63923,63923,63923,7,63923,10560,6903,9131.857,7,43136,7,1,63923,6903,10560,9131.857,156031,22290.143,463,66.14286,0.47509766
c1_1024n_8w_10000bs_queue,0,32,1,65351,65351,65351,65351,7,65351,10565,7676,9335.857,7,43136,7,1,65351,7676,10565,9335.857,162771,23253,483,69,0.4590454
c1_1024n_8w_10000bs_queue,0,33,1,63122,63122,63122,63122,7,63122,10815,7277,9017.429,7,43136,7,1,63122,7277,10815,9017.429,152661,21808.715,453,64.71429,0.40197754
c1_1024n_8w_10000bs_queue,0,34,1,66350,66350,66350,66350,7,66350,11170,7935,9478.571,7,43136,7,1,66350,7935,11170,9478.571,163445,23349.285,485,69.28571,0.4185791
c1_1024n_8w_10000bs_queue,0,35,1,55817,55817,55817,55817,7,55817,13382,5577,7973.857,7,43136,7,1,55817,5577,13382,7973.857,124353,17764.715,369,52.714287,0.40625
c1_1024n_8w_10000bs_queue,0,36,1,61182,61182,61182,61182,7,61182,10779,7353,8740.286,7,43136,7,1,61182,7353,10779,8740.286,144910,20701.428,430,61.42857,0.51013184
c1_1024n_8w_10000bs_queue,0,37,1,66410,66410,66410,66410,7,66410,12608,5130,9487.143,7,43136,7,1,66410,5130,12608,9487.143,167826,23975.143,498,71.14286,0.49731445
c1_1024n_8w_10000bs_queue,0,38,1,69690,69690,69690,69690,7,69690,12205,7229,9955.714,7,43136,7,1,69690,7229,12205,9955.714,178947,25563.857,531,75.85714,0.4831543
c1_1024n_8w_10000bs_queue,0,39,1,67282,67282,67282,67282,7,67282,11903,7775,9611.714,7,43136,7,1,67282,7775,11903,9611.714,170522,24360.285,506,72.28571,0.44958496
c1_1024n_8w_10000bs_queue,0,40,1,69609,69609,69609,69609,7,69609,11156,9075,9944.143,7,43136,7,1,69609,9075,11156,9944.143,176251,25178.715,523,74.71429,0.47229004
c1_1024n_8w_10000bs_queue,0,41,1,51568,51568,51568,51568,7,51568,12699,4286,7366.857,7,43136,7,1,51568,4286,12699,7366.857,112558,16079.714,334,47.714287,0.37664795
c1_1024n_8w_10000bs_queue,0,42,1,70585,70585,70585,70585,7,70585,11712,8065,10083.571,7,43136,7,1,70585,8065,11712,10083.571,179958,25708.285,534,76.28571,0.4901123
c1_1024n_8w_10000bs_queue,0,43,1,65888,65888,65888,65888,7,65888,11966,6995,9412.571,7,43136,7,1,65888,6995,11966,9412.571,162434,23204.857,482,68.85714,0.48083496
c1_1024n_8w_10000bs_queue,0,44,1,66915,66915,66915,66915,7,66915,11026,8108,9559.286,7,43136,7,1,66915,8108,11026,9559.286,165130,23590,490,70,0.5125122
c1_1024n_8w_10000bs_queue,0,45,1,62161,62161,62161,62161,7,62161,11016,7085,8880.143,7,43136,7,1,62161,7085,11016,8880.143,147606,21086.572,438,62.57143,0.46020508
c1_1024n_8w_10000bs_queue,0,46,1,66057,66057,66057,66057,7,66057,11096,7805,9436.714,7,43136,7,1,66057,7805,11096,9436.714,164119,23445.572,487,69.57143,0.44921875
c1_1024n_8w_10000bs_queue,0,47,1,52428,52428,52428,52428,7,52428,13390,4408,7489.7144,7,43136,7,1,52428,4408,13390,7489.7144,114580,16368.571,340,48.57143,0.52819824
c1_1024n_8w_10000bs_queue,0,48,1,63836,63836,63836,63836,7,63836,10019,8159,9119.429,7,43136,7,1,63836,8159,10019,9119.429,156031,22290.143,463,66.14286,0.44335938
c1_1024n_8w_10000bs_queue,0,49,1,66186,66186,66186,66186,7,66186,10844,6970,9455.143,7,43136,7,1,66186,6970,10844,9455.143,165130,23590,490,70,0.4779663
c1_1024n_8w_10000bs_queue,0,50,1,68393,68393,68393,68393,7,68393,11986,7521,9770.429,7,43136,7,1,68393,7521,11986,9770.429,172207,24601,511,73,0.47088623
c1_1024n_8w_10000bs_queue,0,51,1,63671,63671,63671,63671,7,63671,11031,6701,9095.857,7,43136,7,1,63671,6701,11031,9095.857,155020,22145.715,460,65.71429,0.49536133
c1_1024n_8w_10000bs_queue,0,52,1,73936,73936,73936,73936,7,73936,12504,8587,10562.286,7,43136,7,1,73936,8587,12504,10562.286,192764,27537.715,572,81.71429,0.46014404
c1_1024n_8w_10000bs_queue,0,53,1,52033,52033,52033,52033,7,52033,10487,5194,7433.2856,7,43136,7,1,52033,5194,10487,7433.2856,110199,15742.714,327,46.714287,0.37475586
c1_1024n_8w_10000bs_queue,0,54,1,67800,67800,67800,67800,7,67800,11398,7839,9685.714,7,43136,7,1,67800,7839,11398,9685.714,168500,24071.428,500,71.42857,0.4440918
c1_1024n_8w_10000bs_queue,0,55,1,61137,61137,61137,61137,7,61137,11837,6728,8733.857,7,43136,7,1,61137,6728,11837,8733.857,145584,20797.715,432,61.714287,0.49749756
c1_1024n_8w_10000bs_queue,0,56,1,63007,63007,63007,63007,7,63007,11440,6761,9001,7,43136,7,1,63007,6761,11440,9001,154346,22049.428,458,65.42857,0.41949463
c1_1024n_8w_10000bs_queue,0,57,1,63916,63916,63916,63916,7,63916,11469,7268,9130.857,7,43136,7,1,63916,7268,11469,9130.857,154346,22049.428,458,65.42857,0.4602661
c1_1024n_8w_10000bs_queue,0,58,1,64306,64306,64306,64306,7,64306,10431,8260,9186.571,7,43136,7,1,64306,8260,10431,9186.571,157379,22482.715,467,66.71429,0.49902344
c1_1024n_8w_10000bs_queue,0,59,1,57375,57375,57375,57375,7,57375,13327,5050,8196.429,7,43136,7,1,57375,5050,13327,8196.429,131767,18823.857,391,55.857143,0.42944336
c1_1024n_8w_10000bs_queue,0,60,1,63071,63071,63071,63071,7,63071,11288,7275,9010.143,7,43136,7,1,63071,7275,11288,9010.143,153335,21905,455,65,0.48376465
c1_1024n_8w_10000bs_queue,0,61,1,64413,64413,64413,64413,7,64413,11310,7389,9201.857,7,43136,7,1,64413,7389,11310,9201.857,159064,22723.428,472,67.42857,0.4189453
c1_1024n_8w_10000bs_queue,0,62,1,66723,66723,66723,66723,7,66723,11662,7386,9531.857,7,43136,7,1,66723,7386,11662,9531.857,166815,23830.715,495,70.71429,0.46411133
c1_1024n_8w_10000bs_queue,0,63,1,62204,62204,62204,62204,7,62204,9830,7542,8886.286,7,43136,7,1,62204,7542,9830,8886.286,155020,22145.715,460,65.71429,0.53637695
c1_1024n_8w_10000bs_queue,0,64,1,65733,65733,65733,65733,7,65733,11021,6709,9390.429,7,43136,7,1,65733,6709,11021,9390.429,158390,22627.143,470,67.14286,0.47790527
c1_1024n_8w_10000bs_queue,0,65,1,42766,42766,42766,42766,7,42766,8451,4677,6109.4287,7,43136,7,1,42766,4677,8451,6109.4287,82902,11843.143,246,35.142857,0.39038086
c1_1024n_8w_10000bs_queue,0,66,1,66805,66805,66805,66805,7,66805,12621,7870,9543.571,7,43136,7,1,66805,7870,12621,9543.571,164793,23541.857,489,69.85714,0.41662598
c1_1024n_8w_10000bs_queue,0,67,1,71159,71159,71159,71159,7,71159,12097,8222,10165.571,7,43136,7,1,71159,8222,12097,10165.571,182991,26141.572,543,77.57143,0.53149414
c1_1024n_8w_10000bs_queue,0,68,1,60892,60892,60892,60892,7,60892,12144,7028,8698.857,7,43136,7,1,60892,7028,12144,8698.857,144910,20701.428,430,61.42857,0.46594238
c1_1024n_8w_10000bs_queue,0,69,1,67279,67279,67279,67279,7,67279,13355,7702,9611.286,7,43136,7,1,67279,7702,13355,9611.286,167489,23927,497,71,0.45031738
c1_1024n_8w_10000bs_queue,0,70,1,64013,64013,64013,64013,7,64013,11232,8143,9144.714,7,43136,7,1,64013,8143,11232,9144.714,154009,22001.285,457,65.28571,0.48425293
c1_1024n_8w_10000bs_queue,0,71,1,57070,57070,57070,57070,7,57070,11777,6898,8152.857,7,43136,7,1,57070,6898,11777,8152.857,132104,18872,392,56,0.4802246
c1_1024n_8w_10000bs_queue,0,72,1,66774,66774,66774,66774,7,66774,12515,8240,9539.143,7,43136,7,1,66774,8240,12515,9539.143,166478,23782.572,494,70.57143,0.545166
c1_1024n_8w_10000bs_queue,0,73,1,68738,68738,68738,68738,7,68738,11225,7238,9819.714,7,43136,7,1,68738,7238,11225,9819.714,170185,24312.143,505,72.14286,0.5187988
c1_1024n_8w_10000bs_queue,0,74,1,73502,73502,73502,73502,7,73502,13344,8634,10500.286,7,43136,7,1,73502,8634,13344,10500.286,189731,27104.428,563,80.42857,0.45007324
c1_1024n_8w_10000bs_queue,0,75,1,69375,69375,69375,69375,7,69375,13628,7838,9910.714,7,43136,7,1,69375,7838,13628,9910.714,175914,25130.572,522,74.57143,0.520874
c1_1024n_8w_10000bs_queue,0,76,1,70873,70873,70873,70873,7,70873,12696,8365,10124.714,7,43136,7,1,70873,8365,12696,10124.714,179958,25708.285,534,76.28571,0.5227051
c1_1024n_8w_10000bs_queue,0,77,1,48836,48836,48836,48836,7,48836,8977,4333,6976.5713,7,43136,7,1,48836,4333,8977,6976.5713,101774,14539.143,302,43.142857,0.4552002
c1_1024n_8w_10000bs_queue,0,78,1,66803,66803,66803,66803,7,66803,12773,7608,9543.286,7,43136,7,1,66803,7608,12773,9543.286,166141,23734.428,493,70.42857,0.4649048
c1_1024n_8w_10000bs_queue,0,79,1,66033,66033,66033,66033,7,66033,13154,5920,9433.286,7,43136,7,1,66033,5920,13154,9433.286,162434,23204.857,482,68.85714,0.53356934
c1_1024n_8w_10000bs_queue,0,80,1,68331,68331,68331,68331,7,68331,11045,7389,9761.571,7,43136,7,1,68331,7389,11045,9761.571,170522,24360.285,506,72.28571,0.44396973
c1_1024n_8w_10000bs_queue,0,81,1,67624,67624,67624,67624,7,67624,10955,7714,9660.571,7,43136,7,1,67624,7714,10955,9660.571,170859,24408.428,507,72.42857,0.47399902
c1_1024n_8w_10000bs_queue,0,82,1,63818,63818,63818,63818,7,63818,11113,7932,9116.857,7,43136,7,1,63818,7932,11113,9116.857,157379,22482.715,467,66.71429,0.44744873
c1_1024n_8w_10000bs_queue,0,83,1,45813,45813,45813,45813,7,45813,9530,4503,6544.7144,7,43136,7,1,45813,4503,9530,6544.7144,93012,13287.429,276,39.42857,0.46362305
c1_1024n_8w_10000bs_queue,0,84,1,66353,66353,66353,66353,7,66353,11584,8402,9479,7,43136,7,1,66353,8402,11584,9479,162771,23253,483,69,0.47021484
c1_1024n_8w_10000bs_queue,0,85,1,65908,65908,65908,65908,7,65908,11961,6714,9415.429,7,43136,7,1,65908,6714,11961,9415.429,161086,23012.285,478,68.28571,0.4552002
c1_1024n_8w_10000bs_queue,0,86,1,72742,72742,72742,72742,7,72742,11752,9187,10391.714,7,43136,7,1,72742,9187,11752,10391.714,189057,27008.143,561,80.14286,0.4840088
c1_1024n_8w_10000bs_queue,0,87,1,63576,63576,63576,63576,7,63576,11056,6041,9082.286,7,43136,7,1,63576,6041,11056,9082.286,152324,21760.572,452,64.57143,0.43444824
c1_1024n_8w_10000bs_queue,0,88,1,62332,62332,62332,62332,7,62332,11687,5433,8904.571,7,43136,7,1,62332,5433,11687,8904.571,150302,21471.715,446,63.714287,0.46875
c1_1024n_8w_10000bs_queue,0,89,1,58111,58111,58111,58111,7,58111,12720,5659,8301.571,7,43136,7,1,58111,5659,12720,8301.571,134126,19160.857,398,56.857143,0.4835205
c1_1024n_8w_10000bs_queue,0,90,1,66003,66003,66003,66003,7,66003,12049,7363,9429,7,43136,7,1,66003,7363,12049,9429,164793,23541.857,489,69.85714,0.46240234
c1_1024n_8w_10000bs_queue,0,91,1,65756,65756,65756,65756,7,65756,11044,8417,9393.714,7,43136,7,1,65756,8417,11044,9393.714,159738,22819.715,474,67.71429,0.48266602
c1_1024n_8w_10000bs_queue,0,92,1,82728,82728,82728,82728,7,82728,16198,7669,11818.286,7,43136,7,1,82728,7669,16198,11818.286,174903,24986.143,519,74.14286,0.48425293
c1_1024n_8w_10000bs_queue,0,93,1,64873,64873,64873,64873,7,64873,11400,5837,9267.571,7,43136,7,1,64873,5837,11400,9267.571,160749,22964.143,477,68.14286,0.48101807
c1_1024n_8w_10000bs_queue,0,94,1,60834,60834,60834,60834,7,60834,10272,6817,8690.571,7,43136,7,1,60834,6817,10272,8690.571,144573,20653.285,429,61.285713,0.4970703
c1_1024n_8w_10000bs_queue,0,95,1,47666,47666,47666,47666,7,47666,9999,4820,6809.4287,7,43136,7,1,47666,4820,9999,6809.4287,98067,14009.571,291,41.57143,0.4746704
c1_1024n_8w_10000bs_queue,0,96,1,64560,64560,64560,64560,7,64560,10368,7645,9222.857,7,43136,7,1,64560,7645,10368,9222.857,157379,22482.715,467,66.71429,0.5340576
c1_1024n_8w_10000bs_queue,0,97,1,74272,74272,74272,74272,7,74272,12155,9706,10610.286,7,43136,7,1,74272,9706,12155,10610.286,191416,27345.143,568,81.14286,0.45666504
c1_1024n_8w_10000bs_queue,0,98,1,67057,67057,67057,67057,7,67057,12669,7133,9579.571,7,43136,7,1,67057,7133,12669,9579.571,167152,23878.857,496,70.85714,0.4847412
c1_1024n_8w_10000bs_queue,0,99,1,69827,69827,69827,69827,7,69827,11820,7218,9975.286,7,43136,7,1,69827,7218,11820,9975.286,177262,25323.143,526,75.14286,0.4937744
c1_1024n_8w_10000bs_queue,0,100,1,63674,63674,63674,63674,7,63674,11292,6880,9096.286,7,43136,7,1,63674,6880,11292,9096.286,154009,22001.285,457,65.28571,0.58410645
c1_1024n_8w_10000bs_queue,0,101,1,58493,58493,58493,58493,7,58493,11994,6250,8356.143,7,43136,7,1,58493,6250,11994,8356.143,135811,19401.572,403,57.57143,0.40246582
c1_1024n_8w_10000bs_queue,0,102,1,67614,67614,67614,67614,7,67614,12178,7698,9659.143,7,43136,7,1,67614,7698,12178,9659.143,169174,24167.715,502,71.71429,0.47851562
c1_1024n_8w_10000bs_queue,0,103,1,69179,69179,69179,69179,7,69179,12508,7644,9882.714,7,43136,7,1,69179,7644,12508,9882.714,170859,24408.428,507,72.42857,0.53497314
c1_1024n_8w_10000bs_queue,0,104,1,66604,66604,66604,66604,7,66604,11009,7374,9514.857,7,43136,7,1,66604,7374,11009,9514.857,162771,23253,483,69,0.5197754
c1_1024n_8w_10000bs_queue,0,105,1,62095,62095,62095,62095,7,62095,11812,6719,8870.714,7,43136,7,1,62095,6719,11812,8870.714,148617,21231,441,63,0.42071533
c1_1024n_8w_10000bs_queue,0,106,1,66930,66930,66930,66930,7,66930,11188,7328,9561.429,7,43136,7,1,66930,7328,11188,9561.429,166815,23830.715,495,70.71429,0.47924805
c1_1024n_8w_10000bs_queue,0,107,1,51315,51315,51315,51315,7,51315,9280,4299,7330.7144,7,43136,7,1,51315,4299,9280,7330.7144,110199,15742.714,327,46.714287,0.44152832
c1_1024n_8w_10000bs_queue,0,108,1,69540,69540,69540,69540,7,69540,12480,7250,9934.286,7,43136,7,1,69540,7250,12480,9934.286,174566,24938,518,74,0.4621582
c1_1024n_8w_10000bs_queue,0,109,1,67594,67594,67594,67594,7,67594,12196,7459,9656.286,7,43136,7,1,67594,7459,12196,9656.286,170185,24312.143,505,72.14286,0.5357666
c1_1024n_8w_10000bs_queue,0,110,1,67185,67185,67185,67185,7,67185,11429,6950,9597.857,7,43136,7,1,67185,6950,11429,9597.857,169174,24167.715,502,71.71429,0.49176025
c1_1024n_8w_10000bs_queue,0,111,1,63887,63887,63887,63887,7,63887,11187,7022,9126.714,7,43136,7,1,63887,7022,11187,9126.714,154346,22049.428,458,65.42857,0.46038818
c1_1024n_8w_10000bs_queue,0,112,1,68179,68179,68179,68179,7,68179,11829,7836,9739.857,7,43136,7,1,68179,7836,11829,9739.857,169511,24215.857,503,71.85714,0.5797119
c1_1024n_8w_10000bs_queue,0,113,1,52454,52454,52454,52454,7,52454,12525,4773,7493.4287,7,43136,7,1,52454,4773,12525,7493.4287,117950,16850,350,50,0.2939453
c1_1024n_8w_10000bs_queue,0,114,1,67719,67719,67719,67719,7,67719,12488,7652,9674.143,7,43136,7,1,67719,7652,12488,9674.143,168500,24071.428,500,71.42857,0.4199829
c1_1024n_8w_10000bs_queue,0,115,1,71908,71908,71908,71908,7,71908,13408,8451,10272.571,7,43136,7,1,71908,8451,13408,10272.571,183328,26189.715,544,77.71429,0.5161133
c1_1024n_8w_10000bs_queue,0,116,1,70303,70303,70303,70303,7,70303,11502,8041,10043.286,7,43136,7,1,70303,8041,11502,10043.286,180295,25756.428,535,76.42857,0.52001953
c1_1024n_8w_10000bs_queue,0,117,1,69672,69672,69672,69672,7,69672,13330,6880,9953.143,7,43136,7,1,69672,6880,13330,9953.143,176925,25275,525,75,0.41748047
c1_1024n_8w_10000bs_queue,0,118,1,66869,66869,66869,66869,7,66869,12133,7334,9552.714,7,43136,7,1,66869,7334,12133,9552.714,165130,23590,490,70,0.5219116
c1_1024n_8w_10000bs_queue,0,119,1,56601,56601,56601,56601,7,56601,11069,5307,8085.857,7,43136,7,1,56601,5307,11069,8085.857,131093,18727.572,389,55.57143,0.39904785
c1_1024n_8w_10000bs_queue,1,0,1,137241,137241,137241,137241,1,137241,137241,137241,137241,1,204429,1,1,137241,137241,137241,137241,28657,28657,14,14,0.46325684
c1_1024n_8w_10000bs_queue,1,1,3,645797,244016,165862,215265.67,8,645797,83260,78386,80724.625,1,1263616,8,8,645797,78386,83260,80724.625,314048,314048,32,32,1.2503052
c1_1024n_8w_10000bs_queue,1,2,2,419794,229832,189962,209897,11,419794,66450,19961,38163.09,1,752672,11,11,419794,19961,66450,38163.09,399072,399072,64,64,0.79833984
c1_1024n_8w_10000bs_queue,1,3,2,356216,228357,127859,178108,12,356216,41064,11471,29684.666,2,425952,12,6,356216,11471,41064,29684.666,425952,212976,128,64,1.3568115
c1_1024n_8w_10000bs_queue,1,4,2,332741,238923,93818,166370.5,10,332741,49106,11347,33274.1,2,323296,10,5,332741,11347,49106,33274.1,323296,161648,128,64,0.3428955
c1_1024n_8w_10000bs_queue,1,5,1,221207,221207,221207,221207,9,221207,37012,8509,24578.555,3,165216,9,3,221207,8509,37012,24578.555,266848,88949.336,208,69.333336,0.74902344
c1_1024n_8w_10000bs_queue,1,6,2,387162,251165,137071,193581,13,387162,45013,7539,29781.691,7,100453,13,1.8571428,387162,7539,45013,29781.691,396863,56694.715,506,72.28571,0.7786865
c1_1024n_8w_10000bs_queue,1,7,4,816368,243983,112915,204092,14,816368,99543,7806,58312,7,90255,14,2,816368,7806,99543,58312,369502,52786,524,74.85714,1.0574341
c1_1024n_8w_10000bs_queue,1,8,4,692720,215733,106264,173180,8,692720,106520,26984,86590,7,62128,8,1.1428572,692720,26984,106520,86590,227096,32442.285,468,66.85714,0.970459
c1_1024n_8w_10000bs_queue,1,9,4,829933,250167,145034,207483.25,7,829933,154734,78342,118561.86,7,48858,7,1,829933,78342,154734,118561.86,167177,23882.428,438,62.57143,0.82073975
c1_1024n_8w_10000bs_queue,1,10,4,673368,211689,88374,168342,7,673368,115973,65027,96195.43,7,45555,7,1,673368,65027,115973,96195.43,179374,25624.857,504,72,0.7918701
c1_1024n_8w_10000bs_queue,1,11,2,406825,257855,147431,203412.5,7,406825,80065,39779,58117.855,7,44288,7,1,406825,39779,80065,58117.855,93766,13395.143,271,38.714287,0.68322754
c1_1024n_8w_10000bs_queue,1,12,2,365151,228779,136372,182575.5,7,365151,65579,36721,52164.43,7,43392,7,1,365151,36721,65579,52164.43,157635,22519.285,465,66.42857,0.6760254
c1_1024n_8w_10000bs_queue,1,13,1,252080,252080,252080,252080,7,252080,45466,31079,36011.43,7,43392,7,1,252080,31079,45466,36011.43,152889,21841.285,451,64.42857,0.66015625
c1_1024n_8w_10000bs_queue,1,14,2,297495,248956,41490,148747.5,7,297495,52377,36416,42499.285,7,43218,7,1,297495,36416,52377,42499.285,210347,30049.572,623,89,0.59710693
c1_1024n_8w_10000bs_queue,1,15,1,172966,172966,172966,172966,7,172966,27849,17751,24709.428,7,43136,7,1,172966,17751,27849,24709.428,169511,24215.857,503,71.85714,0.51916504
c1_1024n_8w_10000bs_queue,1,16,1,155090,155090,155090,155090,7,155090,30400,15107,22155.715,7,43136,7,1,155090,15107,30400,22155.715,162771,23253,483,69,0.5456543
c1_1024n_8w_10000bs_queue,1,17,1,85920,85920,85920,85920,7,85920,17397,8753,12274.286,7,43136,7,1,85920,8753,17397,12274.286,99415,14202.143,295,42.142857,0.48034668
c1_1024n_8w_10000bs_queue,1,18,1,87946,87946,87946,87946,7,87946,15370,8899,12563.714,7,43136,7,1,87946,8899,15370,12563.714,153672,21953.143,456,65.14286,0.48260498
c1_1024n_8w_10000bs_queue,1,19,1,77981,77981,77981,77981,7,77981,13173,9450,11140.143,7,43136,7,1,77981,9450,13173,11140.143,143225,20460.715,425,60.714287,0.49438477
